22:20:56 | INFO | WebDriverThreadLocalContainer:151        | No webdriver is bound to current thread: 1 - let's create a new webdriver
22:20:57 | INFO | FileHelper:46                            | Creating folder: D:\OKTEN\Automation\Automation-preview\build\downloads\1709583657135_13784_1
22:21:06 | INFO | SelenideNettyClientFactory:25            | Changed readTimeout from PT3M to PT1M30S
22:21:37 | INFO | SelenideNettyClientFactory:25            | Changed readTimeout from PT3M to PT1M30S
22:21:43 | INFO | BrowserResizer:39                        | Set browser size to 1280x920
22:21:44 | INFO | WebDriverFactory:145                     | BrowserName=MicrosoftEdge Version=122.0.2365.66 Platform=windows
22:21:44 | INFO | WebDriverFactory:75                      | Selenide v. 6.19.1
22:21:44 | INFO | WebDriverFactory:139                     | Selenium WebDriver v. 4.13.0 build revision: ba948ece5b*
22:21:44 | INFO | CreateDriverCommand:78                   | Created webdriver in thread 1: EdgeDriver -> EdgeDriver: MicrosoftEdge on windows (e46787cb323da81d761cb10264b9ee95)
22:21:44 | INFO | DisposablesRegistry:30                   | Register WebDriverInstance[config=StaticConfig,webDriver=EdgeDriver: MicrosoftEdge on windows (e46787cb323da81d761cb10264b9ee95),proxy=null,downloadsFolder=D:\OKTEN\Automation\Automation-preview\build\downloads\1709583657135_13784_1] in 1 [size=1]
22:21:44 | INFO | DisposablesRegistry:32                   | Add shutdown hook in 1 [size=1]
22:21:44 | INFO | WebDriverThreadLocalContainer:194        | Browser will stay open due to holdBrowserOpen=true: 1 -> EdgeDriver: MicrosoftEdge on windows (e46787cb323da81d761cb10264b9ee95)
22:21:51 | INFO | LoginPage:22                             | Type username 'element -> By.xpath: //input[@placeholder='Username']
22:21:53 | INFO | LoginPage:22                             | Type password 'element -> By.xpath: //input[@placeholder='Password']
22:21:54 | INFO | LoginPage:22                             | Click submit 'element -> By.xpath: //input[@value='Login']
22:21:55 | INFO | MainPage:22                              | Get item list 'elements collection texts -> By.xpath: //div[@class='inventory_item_name ']
22:21:55 | INFO | MainPage:22                              | Get item list 'elements collection texts -> By.xpath: //div[@class='inventory_item_desc']
22:21:55 | INFO | MainPage:22                              | Get item list 'elements collection texts -> By.xpath: //div[@class='inventory_item_price']
22:21:56 | INFO | DetailsItemPage:22                       | Get detailed item 'element text -> By.xpath: //div[contains(@class,'inventory_details_name')]
22:21:56 | INFO | DetailsItemPage:22                       | Get detailed item 'element text -> By.xpath: (//div[contains(@class,'inventory_details_desc')])[2]
22:21:56 | INFO | DetailsItemPage:22                       | Get detailed item 'element text -> By.xpath: //div[@class='inventory_details_price']
22:21:56 | INFO | CloseDriverCommand:27                    | Hold browser open: 1 -> EdgeDriver: MicrosoftEdge on windows (e46787cb323da81d761cb10264b9ee95)
22:21:56 | INFO | DisposablesRegistry:40                   | Unregister WebDriverInstance[config=StaticConfig,webDriver=EdgeDriver: MicrosoftEdge on windows (e46787cb323da81d761cb10264b9ee95),proxy=null,downloadsFolder=D:\OKTEN\Automation\Automation-preview\build\downloads\1709583657135_13784_1] in 1 [size=0]
22:21:56 | INFO | WebDriverThreadLocalContainer:151        | No webdriver is bound to current thread: 1 - let's create a new webdriver
22:21:56 | INFO | FileHelper:46                            | Creating folder: D:\OKTEN\Automation\Automation-preview\build\downloads\1709583716639_13784_1
22:22:02 | INFO | SelenideNettyClientFactory:25            | Changed readTimeout from PT3M to PT1M30S
22:22:08 | INFO | SelenideNettyClientFactory:25            | Changed readTimeout from PT3M to PT1M30S
22:22:08 | INFO | BrowserResizer:39                        | Set browser size to 1280x920
22:22:09 | INFO | WebDriverFactory:145                     | BrowserName=MicrosoftEdge Version=122.0.2365.66 Platform=windows
22:22:09 | INFO | WebDriverFactory:75                      | Selenide v. 6.19.1
22:22:09 | INFO | WebDriverFactory:139                     | Selenium WebDriver v. 4.13.0 build revision: ba948ece5b*
22:22:09 | INFO | CreateDriverCommand:78                   | Created webdriver in thread 1: EdgeDriver -> EdgeDriver: MicrosoftEdge on windows (49baaba6bf1e5bfb3de4a2a68fefef13)
22:22:09 | INFO | DisposablesRegistry:30                   | Register WebDriverInstance[config=StaticConfig,webDriver=EdgeDriver: MicrosoftEdge on windows (49baaba6bf1e5bfb3de4a2a68fefef13),proxy=null,downloadsFolder=D:\OKTEN\Automation\Automation-preview\build\downloads\1709583716639_13784_1] in 1 [size=1]
22:22:09 | INFO | WebDriverThreadLocalContainer:194        | Browser will stay open due to holdBrowserOpen=true: 1 -> EdgeDriver: MicrosoftEdge on windows (49baaba6bf1e5bfb3de4a2a68fefef13)
22:22:20 | INFO | LoginPage:22                             | Type username 'element -> By.xpath: //input[@placeholder='Username']
22:22:21 | INFO | LoginPage:22                             | Type password 'element -> By.xpath: //input[@placeholder='Password']
22:22:22 | INFO | LoginPage:22                             | Click submit 'element -> By.xpath: //input[@value='Login']
22:22:22 | INFO | MainPage:22                              | Get item list 'elements collection texts -> By.xpath: //div[@class='inventory_item_name ']
22:22:22 | INFO | MainPage:22                              | Get item list 'elements collection texts -> By.xpath: //div[@class='inventory_item_desc']
22:22:22 | INFO | MainPage:22                              | Get item list 'elements collection texts -> By.xpath: //div[@class='inventory_item_price']
22:22:22 | INFO | MainPage:22                              | Click header by id 'element -> By.xpath: (//div[@class='inventory_item_name'])['1']
22:22:34 | INFO | CloseDriverCommand:27                    | Hold browser open: 1 -> EdgeDriver: MicrosoftEdge on windows (49baaba6bf1e5bfb3de4a2a68fefef13)
22:22:34 | INFO | DisposablesRegistry:40                   | Unregister WebDriverInstance[config=StaticConfig,webDriver=EdgeDriver: MicrosoftEdge on windows (49baaba6bf1e5bfb3de4a2a68fefef13),proxy=null,downloadsFolder=D:\OKTEN\Automation\Automation-preview\build\downloads\1709583716639_13784_1] in 1 [size=0]
22:22:39 | INFO | DisposablesRegistry:66                   | Run cleanup: size=0
22:22:39 | INFO | DisposablesRegistry:68                   | Finished cleanup
